IP Address,Guard,Exit,Last Seen
85.239.55.249,False,True,2025-07-02 13:00:00
45.145.164.86,True,False,2025-07-04 15:00:00
85.239.55.192,False,True,2025-07-02 13:00:00
173.88.182.35,True,False,2025-07-06 15:00:00
91.227.77.209,False,True,2025-07-02 13:00:00
91.227.77.158,False,True,2025-07-02 13:00:00
47.54.34.232,True,False,2025-07-07 09:00:00
82.29.153.76,True,True,2025-07-07 17:00:00
193.218.118.182,True,True,2025-07-03 14:00:00
192.159.99.68,True,False,2025-07-08 06:00:00
85.239.55.201,False,True,2025-07-02 13:00:00
91.227.77.125,False,True,2025-07-02 13:00:00
45.145.164.86,True,False,2025-07-05 23:00:00
101.99.76.22,True,True,2025-07-07 17:00:00
85.239.55.174,False,True,2025-07-08 08:00:00
194.48.248.99,True,False,2025-07-07 11:00:00
199.195.251.202,True,True,2025-07-07 07:00:00
194.9.172.32,True,False,2025-07-04 02:00:00
89.58.58.14,True,False,2024-01-28 11:00:00
85.239.55.25,False,True,2025-07-02 13:00:00
185.7.78.60,True,True,2025-07-07 17:00:00
34.130.255.210,True,True,2025-07-03 15:00:00
91.227.77.226,False,True,2025-07-08 06:00:00
79.137.202.216,True,False,2024-01-28 17:00:00
93.160.17.86,True,False,2025-07-02 18:00:00
109.123.231.55,False,True,2024-01-29 04:00:00
91.227.77.97,False,True,2025-07-02 13:00:00
5.183.179.247,True,False,2025-07-08 06:00:00
91.227.77.139,False,True,2025-07-08 09:00:00
194.9.172.32,True,False,2025-07-04 02:00:00
85.239.55.239,False,True,2025-07-02 13:00:00
85.239.55.112,False,True,2025-07-08 06:00:00
85.239.55.230,False,True,2025-07-08 09:00:00
100.42.28.71,False,True,2025-07-04 09:00:00
103.106.3.175,False,True,2024-01-25 22:00:00
185.177.206.66,True,False,2024-01-26 22:00:00
89.58.40.94,True,False,2024-01-28 11:00:00
79.133.57.64,True,True,2025-07-07 17:00:00
91.227.77.193,False,True,2025-07-08 09:00:00
85.239.55.31,False,True,2025-07-08 06:00:00
62.149.23.133,False,True,2024-01-29 07:00:00
85.239.55.184,False,True,2025-07-02 13:00:00
87.106.158.97,True,False,2024-01-26 20:00:00
5.181.77.79,True,False,2025-07-07 03:00:00
87.106.56.245,True,False,2025-07-03 02:00:00
163.5.121.250,True,False,2025-07-04 23:00:00
85.239.55.168,False,True,2025-07-02 13:00:00
193.218.118.188,False,True,2025-07-03 14:00:00
173.232.194.21,True,False,2024-01-26 14:00:00
185.233.100.23,True,True,2025-07-06 20:00:00
91.227.77.208,False,True,2025-07-08 07:00:00
185.220.101.159,False,True,2025-07-03 10:00:00
31.42.177.222,True,True,2025-07-07 08:00:00
193.218.118.173,True,True,2025-07-03 14:00:00
13.211.124.13,False,True,2025-07-07 13:00:00
91.227.77.158,False,True,2025-07-08 07:00:00
37.221.196.197,True,False,2025-07-03 15:00:00
85.90.196.162,False,True,2025-07-02 18:00:00
85.239.55.114,False,True,2025-07-02 13:00:00
85.239.55.174,False,True,2025-07-02 13:00:00
91.227.77.139,False,True,2025-07-02 13:00:00
85.239.55.114,False,True,2025-07-08 06:00:00
82.165.10.149,True,False,2024-01-28 05:00:00
69.12.83.23,True,False,2025-07-03 18:00:00
85.239.55.168,False,True,2025-07-08 06:00:00
76.70.53.101,True,False,2025-07-03 22:00:00
138.201.55.77,True,False,2024-01-23 00:00:00
185.220.101.128,True,False,2025-07-03 10:00:00
20.214.184.59,False,True,2024-01-24 18:00:00
85.239.55.201,False,True,2025-07-08 08:00:00
45.9.168.47,False,True,2025-07-07 17:00:00
85.239.55.24,False,True,2025-07-02 13:00:00
108.44.225.233,True,False,2024-01-26 20:00:00
173.232.194.21,True,False,2024-01-26 14:00:00
194.67.196.19,True,False,2025-07-08 04:00:00
91.227.77.237,False,True,2025-07-02 13:00:00
92.118.170.145,True,False,2025-07-05 19:00:00
45.9.168.47,False,True,2025-07-07 17:00:00
185.233.100.23,True,True,2025-07-06 20:00:00
91.227.77.108,False,True,2025-07-07 22:00:00
185.233.100.23,True,True,2025-07-06 20:00:00
45.33.120.130,False,True,2024-01-24 08:00:00
85.239.55.189,False,True,2025-07-08 09:00:00
50.7.40.39,True,True,2025-07-07 17:00:00
91.221.190.183,False,True,2025-07-08 08:00:00
195.160.220.104,False,True,2025-07-06 06:00:00
138.201.55.70,True,False,2024-01-23 01:00:00
91.227.77.208,False,True,2025-07-02 13:00:00
85.215.136.64,True,False,2025-07-08 03:00:00
85.49.11.132,True,False,2025-07-06 19:00:00
51.195.166.174,True,True,2024-01-27 05:00:00
78.45.83.195,True,False,2024-01-22 19:00:00
45.141.202.164,False,True,2024-01-28 15:00:00
2.58.95.56,False,True,2024-01-28 16:00:00
85.239.55.37,False,True,2025-07-08 08:00:00
138.201.55.70,True,False,2024-01-23 01:00:00
144.217.74.229,True,False,2025-07-05 11:00:00
173.232.194.19,True,False,2024-01-26 14:00:00
194.9.172.32,True,False,2025-07-04 02:00:00
91.227.77.107,False,True,2025-07-08 08:00:00
91.227.77.25,False,True,2025-07-07 13:00:00
78.31.65.42,True,False,2024-01-28 00:00:00
45.9.168.18,False,True,2025-07-04 20:00:00
181.214.147.110,False,True,2024-01-24 22:00:00
138.201.55.77,True,False,2024-01-23 00:00:00
192.159.99.68,True,False,2025-07-08 06:00:00
91.227.77.181,False,True,2025-07-08 09:00:00
23.184.48.13,False,True,2025-07-06 02:00:00
185.219.132.161,True,False,2024-01-24 14:00:00
5.101.84.151,False,True,2025-07-07 08:00:00
91.227.77.119,False,True,2025-07-08 07:00:00
96.227.69.26,True,False,2024-01-24 22:00:00
185.153.197.227,False,True,2024-01-24 19:00:00
173.232.194.19,True,False,2024-01-26 14:00:00
51.158.204.156,True,False,2025-07-02 15:00:00
209.141.54.218,True,True,2025-07-03 07:00:00
163.172.11.88,True,False,2025-07-08 04:00:00
85.239.55.80,False,True,2025-07-02 13:00:00
173.232.194.18,True,False,2024-01-26 14:00:00
152.89.107.146,False,True,2025-07-07 20:00:00
45.145.166.250,True,False,2025-07-05 02:00:00
152.89.107.146,False,True,2025-07-06 20:00:00
91.227.77.51,False,True,2025-07-02 13:00:00
85.239.55.228,False,True,2025-07-02 13:00:00
91.227.77.62,False,True,2025-07-08 08:00:00
138.201.55.77,True,False,2024-01-23 00:00:00
